,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-02-09 07:31:30,2021-02-08 13:29:41,6448.0,1629.0,7573.0,19266,11515,2020-08-25 02:00:30,1.7.0,23466.0,411.0,26.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",1801.0,1801.0,947.0,30,True,1
1,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-02-09 07:10:43,2021-02-06 09:52:03,418.0,203.0,590.0,2784,3256,2021-01-26 08:30:25,0.11.6,,,49.0,Relax! Flux is the ML library that doesn't make you tensor.,,,160.0,19,False,1
2,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-02-08 21:50:58,2021-01-31 18:53:51,223.0,129.0,347.0,1252,2886,2020-12-15 21:03:22,1.4.5,1751.0,38.0,35.0,Ko University deep learning framework.,,,51.0,19,False,1
3,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-02-06 13:10:23,2021-02-06 12:58:42,138.0,138.0,636.0,1115,3116,2021-02-04 12:33:49,0.15.9,,,71.0,Bayesian inference with probabilistic programming.,,,69.0,19,True,1
4,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-02-07 21:50:23,2021-02-06 17:30:57,283.0,102.0,1265.0,925,2433,2021-01-30 16:36:32,0.22.5,,,55.0,In-memory tabular data in Julia.,,,180.0,18,False,1
5,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-02-08 15:17:17,2021-01-22 13:53:47,300.0,202.0,442.0,630,1590,2021-01-22 15:07:26,0.24.12,,,68.0,A Julia package for probability distributions and associated functions.,,,172.0,18,False,1
6,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-02-05 19:49:13,2021-01-05 19:49:08,137.0,116.0,92.0,1505,1071,2021-01-07 02:41:53,0.4.1,,,12.0,A general-purpose probabilistic programming system with programmable inference.,,,20.0,17,True,1
7,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-01-08 18:34:55,2021-01-08 18:34:53,80.0,37.0,68.0,294,567,2020-12-19 12:40:19,0.7.2,14068.0,351.0,10.0,Julia package for text analysis.,,,40.0,17,False,1
8,MixedModels.jl,JuliaStats/MixedModels.jl,ml-frameworks,https://github.com/JuliaStats/MixedModels.jl,https://github.com/JuliaStats/MixedModels.jl,MIT,2013-03-29 21:24:25,2021-02-03 02:09:19,2021-02-03 01:55:34,37.0,24.0,174.0,238,964,2021-02-02 18:38:29,3.1.5,,,53.0,A Julia package for fitting (statistical) mixed-effects models.,,,23.0,17,True,1
9,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJBase.jl,https://github.com/alan-turing-institute/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-02-03 06:30:17,2021-02-03 05:36:35,22.0,38.0,155.0,45,1326,2021-02-03 06:25:57,0.17.2,,,83.0,Core functionality for the MLJ machine learning framework.,,,21.0,17,False,1
10,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-01-17 00:21:20,2020-12-25 23:50:56,131.0,109.0,525.0,1635,1240,2020-12-26 01:20:39,6.16.0,,,49.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,,,19.0,16,False,2
11,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-02-09 00:45:31,2021-02-08 04:19:59,106.0,72.0,362.0,954,1854,2021-02-08 04:57:22,0.16.0,,,46.0,A Julia machine learning framework.,,,42.0,16,False,2
12,Zygote.jl,FluxML/Zygote.jl,ml-frameworks,https://github.com/FluxML/Zygote.jl,https://github.com/FluxML/Zygote.jl,,2018-08-06 22:08:26,2021-02-03 20:00:40,2021-02-02 08:27:40,126.0,263.0,242.0,904,1635,2021-02-01 15:37:17,0.6.3,,,51.0,Intimate Affection Auditor.,,,69.0,16,False,2
13,Images.jl,JuliaImages/Images.jl,image,https://github.com/JuliaImages/Images.jl,https://github.com/JuliaImages/Images.jl,,2012-12-05 14:43:16,2021-01-23 01:28:45,2021-01-14 16:18:31,124.0,65.0,441.0,427,1465,2020-12-26 03:49:26,0.23.3,,,43.0,An image library for Julia.,,,85.0,16,False,1
14,ModelingToolkit.jl,SciML/ModelingToolkit.jl,ml-frameworks,https://github.com/SciML/ModelingToolkit.jl,https://github.com/SciML/ModelingToolkit.jl,,2018-02-27 01:36:26,2021-02-06 23:59:05,2021-02-06 23:35:49,56.0,129.0,225.0,420,1761,2021-02-06 23:52:06,5.6.0,,,100.0,A modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra..,,,42.0,16,False,2
