,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-03-15 10:32:33,2021-03-15 00:49:11,6450.0,1646.0,7583.0,19335,11543,2021-03-03 01:00:20,1.8.0,23614.0,407.0,27.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",1874.0,1874.0,952.0,31,True,1,
1,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-03-15 09:36:03,2021-03-14 16:00:12,429.0,173.0,613.0,2855,3444,2021-01-26 08:30:25,0.11.6,,,49.0,Relax! Flux is the ML library that doesn't make you tensor.,,,160.0,19,False,1,
2,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-03-14 18:06:09,2021-03-13 09:08:17,134.0,118.0,103.0,1517,1140,2021-02-16 18:58:03,0.4.2,,,13.0,A general-purpose probabilistic programming system with programmable inference.,,,26.0,19,True,1,
3,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-03-09 04:45:14,2021-02-25 08:26:48,226.0,129.0,348.0,1260,2890,2020-12-15 21:03:22,1.4.5,1899.0,41.0,35.0,Ko University deep learning framework.,,,51.0,19,False,1,
4,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-03-12 10:29:49,2021-03-11 23:14:19,145.0,143.0,642.0,1145,3123,2021-03-12 10:18:45,0.15.12,,,74.0,Bayesian inference with probabilistic programming.,,,70.0,19,True,1,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-03-15 09:19:48,2021-03-14 10:10:18,286.0,113.0,1279.0,950,2433,2021-01-30 16:36:32,0.22.5,,,55.0,In-memory tabular data in Julia.,,,181.0,18,False,1,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-03-12 15:38:55,2021-03-03 15:52:56,305.0,205.0,444.0,653,1602,2021-03-03 16:19:56,0.24.15,,,71.0,A Julia package for probability distributions and associated functions.,,,177.0,18,False,1,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-03-13 13:50:10,2021-03-13 13:34:17,91.0,55.0,166.0,470,1085,2021-03-04 12:16:50,1.34.1,,,66.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",,,49.0,17,True,1,True
8,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-01-08 18:34:55,2021-01-08 18:34:53,80.0,37.0,68.0,300,567,2020-12-19 12:40:19,0.7.2,14221.0,346.0,10.0,Julia package for text analysis.,,,40.0,17,False,1,
9,MixedModels.jl,JuliaStats/MixedModels.jl,ml-frameworks,https://github.com/JuliaStats/MixedModels.jl,https://github.com/JuliaStats/MixedModels.jl,MIT,2013-03-29 21:24:25,2021-03-14 18:34:07,2021-03-11 23:39:06,36.0,20.0,185.0,255,977,2021-03-08 16:34:07,3.4.0,,,58.0,A Julia package for fitting (statistical) mixed-effects models.,,,23.0,17,True,1,
