,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-03-29 11:43:00,2021-03-26 18:27:50,6461.0,1672.0,7589.0,19360,11557.0,2021-03-03 01:00:20,1.8.0,23647.0,407.0,27.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",1906.0,1906.0,954.0,31,True,1,
1,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-03-29 11:49:03,2021-03-28 14:49:17,432.0,175.0,620.0,2888,3501.0,2021-03-28 05:32:55,0.12.0,,,50.0,Relax! Flux is the ML library that doesn't make you tensor.,,,161.0,19,False,1,
2,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-03-27 18:13:11,2021-03-27 00:35:17,134.0,125.0,104.0,1525,1143.0,2021-02-16 18:58:03,0.4.2,,,13.0,A general-purpose probabilistic programming system with programmable inference.,,,26.0,19,True,1,
3,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-03-17 08:23:32,2021-03-17 07:41:42,228.0,129.0,348.0,1261,2891.0,2021-03-17 08:04:07,1.4.6,1915.0,41.0,36.0,Ko University deep learning framework.,,,51.0,19,False,1,
4,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-03-26 18:50:28,2021-03-11 23:14:19,144.0,145.0,643.0,1164,3123.0,2021-03-12 10:18:45,0.15.12,,,74.0,Bayesian inference with probabilistic programming.,,,70.0,19,True,1,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-03-29 11:21:51,2021-03-29 11:19:37,286.0,108.0,1295.0,958,2433.0,2021-03-25 11:44:51,0.22.6,,,56.0,In-memory tabular data in Julia.,,,182.0,18,False,1,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-03-27 13:55:31,2021-03-27 13:53:49,306.0,206.0,444.0,662,1604.0,2021-03-03 16:19:56,0.24.15,,,71.0,A Julia package for probability distributions and associated functions.,,,177.0,18,False,1,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-03-29 00:32:31,2021-03-29 00:27:04,93.0,53.0,171.0,481,1093.0,2021-03-04 12:16:50,1.34.1,,,66.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",,,49.0,17,True,1,
8,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-01-08 18:34:55,2021-01-08 18:34:53,81.0,38.0,68.0,300,567.0,2020-12-19 12:40:19,0.7.2,14298.0,348.0,10.0,Julia package for text analysis.,,,40.0,17,False,1,
9,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJBase.jl,https://github.com/alan-turing-institute/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-03-25 04:37:04,2021-03-25 04:05:00,22.0,40.0,155.0,57,1374.0,2021-03-25 04:34:00,0.18.0,,,89.0,Core functionality for the MLJ machine learning framework.,,,21.0,17,False,1,
