,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-05-03 11:55:43,2021-05-03 11:55:43,6472.0,1688.0,7612.0,19434,11589.0,2021-03-03 01:00:20,1.8.0,23749.0,395.0,27.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",1991.0,1991.0,958.0,31,True,1,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-05-03 00:05:29,2021-05-02 13:31:12,153.0,157.0,654.0,1203,3135.0,2021-05-02 13:48:08,0.15.19,,,81.0,Bayesian inference with probabilistic programming.,,,72.0,20,True,1,,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-05-03 04:21:24,2021-05-03 02:46:00,437.0,185.0,632.0,2966,3575.0,2021-04-28 23:17:01,0.12.3,,,53.0,Relax! Flux is the ML library that doesn't make you tensor.,,,163.0,19,False,1,,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-05-03 00:07:40,2021-04-11 00:09:55,138.0,127.0,110.0,1538,1165.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,,,28.0,19,True,1,,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-04-30 09:31:20,2021-03-30 14:03:14,228.0,129.0,348.0,1268,2892.0,2021-03-17 08:04:07,1.4.6,2001.0,41.0,36.0,Ko University deep learning framework.,,,51.0,19,False,1,,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-05-03 09:52:42,2021-05-01 15:59:29,294.0,109.0,1318.0,1003,2433.0,2021-05-01 16:24:56,1.0.2,,,60.0,In-memory tabular data in Julia.,,,186.0,18,False,1,,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-05-03 07:11:28,2021-05-03 07:09:44,309.0,209.0,449.0,678,1614.0,2021-05-02 09:15:58,0.25.0,,,75.0,A Julia package for probability distributions and associated functions.,,,179.0,18,False,1,,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-05-02 17:15:18,2021-05-02 17:09:01,96.0,55.0,182.0,501,1120.0,2021-04-13 19:45:08,1.36.1,,,70.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",,,52.0,18,True,1,,
8,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-04-26 18:37:17,2021-04-26 18:37:16,82.0,39.0,69.0,303,576.0,2021-04-05 20:07:11,0.7.3,14442.0,335.0,11.0,Julia package for text analysis.,,,41.0,17,False,1,,
9,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJBase.jl,https://github.com/alan-turing-institute/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-05-03 00:55:18,2021-04-30 20:54:11,24.0,35.0,161.0,62,1408.0,2021-04-30 21:50:34,0.18.3,,,92.0,Core functionality for the MLJ machine learning framework.,,,22.0,17,False,1,,
10,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-04-21 06:51:15,2021-04-21 06:51:15,142.0,113.0,538.0,1750,1241.0,2020-12-26 01:20:39,6.16.0,,,49.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,,,19.0,16,False,2,,
11,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-05-03 02:19:58,2021-05-03 01:06:12,111.0,82.0,380.0,1065,1921.0,2021-05-03 02:01:20,0.16.3,,,49.0,A Julia machine learning framework.,,,43.0,16,False,2,,
12,Zygote.jl,FluxML/Zygote.jl,ml-frameworks,https://github.com/FluxML/Zygote.jl,https://github.com/FluxML/Zygote.jl,,2018-08-06 22:08:26,2021-05-02 11:52:31,2021-05-02 11:52:30,135.0,289.0,254.0,965,1721.0,2021-04-22 09:25:53,0.6.10,,,58.0,Intimate Affection Auditor.,,,74.0,16,False,2,,
13,ModelingToolkit.jl,SciML/ModelingToolkit.jl,ml-frameworks,https://github.com/SciML/ModelingToolkit.jl,https://github.com/SciML/ModelingToolkit.jl,,2018-02-27 01:36:26,2021-05-03 11:54:18,2021-05-03 11:50:12,78.0,80.0,338.0,612,2247.0,2021-04-22 06:44:50,5.16.0,,,100.0,A modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra..,,,55.0,16,False,2,,
14,Images.jl,JuliaImages/Images.jl,image,https://github.com/JuliaImages/Images.jl,https://github.com/JuliaImages/Images.jl,,2012-12-05 14:43:16,2021-04-30 06:20:47,2021-04-30 06:20:47,124.0,43.0,469.0,441,1479.0,2021-04-27 07:48:51,0.24.1,,,45.0,An image library for Julia.,,,86.0,16,False,1,,
15,OrdinaryDiffEq.jl,SciML/OrdinaryDiffEq.jl,ml-frameworks,https://github.com/SciML/OrdinaryDiffEq.jl,https://github.com/SciML/OrdinaryDiffEq.jl,,2016-10-22 16:27:51,2021-05-03 01:40:03,2021-05-03 00:37:54,102.0,212.0,310.0,211,4960.0,2021-05-03 01:40:04,5.53.0,,,100.0,"High performance differential equation solvers for ordinary differential equations, including neural ordinary..",,,72.0,16,False,2,,
16,Transformers.jl,chengchingwen/Transformers.jl,nlp,https://github.com/chengchingwen/Transformers.jl,https://github.com/chengchingwen/Transformers.jl,MIT,2018-12-27 06:24:53,2021-04-28 17:24:41,2021-04-08 21:55:51,27.0,4.0,16.0,188,479.0,2021-04-08 22:14:24,0.1.11,,,8.0,Julia Implementation of Transformer models.,,,8.0,16,True,1,,
17,DFTK.jl/,JuliaMolSim/DFTK.jl/,ml-frameworks,https://github.com/JuliaMolSim/DFTK.jl,https://github.com/JuliaMolSim/DFTK.jl,MIT,2019-04-16 17:15:53,2021-04-30 16:04:24,2021-04-30 16:04:24,25.0,48.0,75.0,156,809.0,2021-04-21 14:17:17,0.2.8,,,34.0,Density-functional toolkit.,,,,16,True,2,,
18,TensorFlow.jl,malmaud/TensorFlow.jl,ml-frameworks,https://github.com/malmaud/TensorFlow.jl,https://github.com/malmaud/TensorFlow.jl,,2015-11-17 18:50:55,2021-04-01 18:06:44,2020-12-11 20:13:12,102.0,70.0,173.0,824,1324.0,2019-03-27 18:18:07,0.12.0,,,27.0,A Julia wrapper for TensorFlow.,,,38.0,15,False,2,,
19,GLM.jl,JuliaStats/GLM.jl,probabilistics,https://github.com/JuliaStats/GLM.jl,https://github.com/JuliaStats/GLM.jl,,2012-05-30 03:30:46,2021-05-02 14:42:58,2021-05-02 14:42:55,87.0,51.0,167.0,371,434.0,2021-04-26 22:04:19,1.4.2,,,29.0,Generalized linear models in Julia.,,,42.0,15,False,1,,
20,NeuralPDE.jl,SciML/NeuralPDE.jl,ml-frameworks,https://github.com/SciML/NeuralPDE.jl,https://github.com/SciML/NeuralPDE.jl,,2017-03-14 20:53:14,2021-05-02 17:28:04,2021-05-02 17:09:24,71.0,46.0,68.0,315,989.0,2021-04-13 21:52:36,3.10.1,,,35.0,Physics-Informed Neural Networks (PINN) and Deep BSDE Solvers of Differential Equations for Scientific Machine..,,,25.0,15,False,2,,
21,Distances.jl,JuliaStats/Distances.jl,ml-frameworks,https://github.com/JuliaStats/Distances.jl,https://github.com/JuliaStats/Distances.jl,,2014-08-26 04:25:09,2021-05-03 08:37:45,2021-05-03 08:13:56,74.0,27.0,72.0,266,159.0,2021-05-03 08:37:45,0.10.3,,,20.0,A Julia package for evaluating distances (metrics) between vectors.,,,34.0,15,False,2,,
22,MixedModels.jl,JuliaStats/MixedModels.jl,ml-frameworks,https://github.com/JuliaStats/MixedModels.jl,https://github.com/JuliaStats/MixedModels.jl,MIT,2013-03-29 21:24:25,2021-05-03 08:05:07,2021-04-30 08:13:04,36.0,21.0,193.0,265,,2021-04-15 19:16:06,3.6.0,,,63.0,A Julia package for fitting (statistical) mixed-effects models.,,,23.0,15,True,2,,
23,AutoMLPipeline.jl,IBM/AutoMLPipeline.jl,ml-frameworks,https://github.com/IBM/AutoMLPipeline.jl,https://github.com/IBM/AutoMLPipeline.jl,MIT,2020-02-25 15:46:12,2021-04-21 23:23:09,2021-04-21 23:04:41,18.0,18.0,46.0,242,389.0,2021-04-21 23:23:10,0.3.4,,,27.0,A package that makes it trivial to create and evaluate machine learning pipeline architectures.,,,4.0,15,True,2,,
24,GeometricFlux.jl,yuehhua/GeometricFlux.jl,ml-frameworks,https://github.com/FluxML/GeometricFlux.jl,https://github.com/FluxML/GeometricFlux.jl,MIT,2019-04-04 12:18:22,2021-04-10 03:11:39,2021-04-10 03:11:39,16.0,23.0,25.0,191,591.0,2021-04-03 07:11:11,0.7.6,,,19.0,Geometric Deep Learning for Flux.,,,10.0,15,True,2,FluxML/GeometricFlux.jl,
25,HypothesisTests.jl,JuliaStats/HypothesisTests.jl,probabilistics,https://github.com/JuliaStats/HypothesisTests.jl,https://github.com/JuliaStats/HypothesisTests.jl,,2012-12-09 05:43:21,2021-05-03 11:06:53,2021-05-03 10:35:15,62.0,38.0,61.0,170,267.0,2021-05-03 11:06:53,0.10.4,,,14.0,Hypothesis tests for Julia.,,,41.0,15,False,1,,
26,MLDatasets.jl,JuliaML/MLDatasets.jl,data-loading,https://github.com/JuliaML/MLDatasets.jl,https://github.com/JuliaML/MLDatasets.jl,MIT,2016-09-08 09:16:50,2021-04-28 00:56:07,2021-03-30 06:13:22,25.0,11.0,12.0,122,152.0,2021-03-30 06:30:37,0.5.6,4.0,0.0,14.0,Utility package for accessing common Machine Learning datasets in Julia.,,,13.0,15,True,2,,
27,DiffEqBase.jl,SciML/DiffEqBase.jl,ml-frameworks,https://github.com/SciML/DiffEqBase.jl,https://github.com/SciML/DiffEqBase.jl,,2016-10-20 22:28:36,2021-04-26 11:35:43,2021-04-21 10:07:38,68.0,47.0,122.0,114,2248.0,2021-04-21 10:18:51,6.60.0,,,100.0,The lightweight Base library for shared types and functionality for defining differential equation and scientific..,,,65.0,15,False,2,,
28,ADCME.jl,kailaix/ADCME.jl,ml-frameworks,https://github.com/kailaix/ADCME.jl,https://github.com/kailaix/ADCME.jl,MIT,2019-06-02 16:12:38,2021-04-12 08:13:16,2021-04-12 08:07:02,32.0,13.0,23.0,112,1071.0,2021-03-17 05:52:07,0.7.1,95.0,4.0,47.0,Automatic Differentiation Library for Computational and Mathematical Engineering.,,,4.0,15,True,2,,
29,ScikitLearn.jl,cstjean/ScikitLearn.jl,ml-frameworks,https://github.com/cstjean/ScikitLearn.jl,https://github.com/cstjean/ScikitLearn.jl,,2016-02-28 17:06:55,2021-04-23 22:30:19,2020-12-04 16:44:29,56.0,24.0,51.0,428,466.0,2020-12-04 19:10:52,0.6.3,,,9.0,Julia implementation of the scikit-learn API https://cstjean.github.io/ScikitLearn.jl/dev/.,,,11.0,14,False,2,,
30,Clustering.jl,JuliaStats/Clustering.jl,ml-frameworks,https://github.com/JuliaStats/Clustering.jl,https://github.com/JuliaStats/Clustering.jl,,2012-11-24 15:47:36,2021-03-11 18:32:20,2021-03-11 18:32:20,92.0,31.0,57.0,232,328.0,2020-10-18 12:18:16,0.14.2,,,19.0,A Julia package for data clustering.,,,46.0,14,False,2,,
