,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-05-17 05:32:39,2021-05-15 14:53:33,6470.0,1684.0,7626.0,19454,11595.0,2021-03-03 01:00:20,1.8.0,23775.0,396.0,27.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",2022.0,2022.0,960.0,31,True,1,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-05-17 09:00:21,2021-05-17 07:52:49,153.0,158.0,656.0,1223,3144.0,2021-05-17 08:52:14,0.15.24,,,86.0,Bayesian inference with probabilistic programming.,,,73.0,20,True,1,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-05-14 20:34:58,2021-05-14 20:29:44,437.0,190.0,636.0,2992,3606.0,2021-04-28 23:17:01,0.12.3,,,53.0,Relax! Flux is the ML library that doesn't make you tensor.,,,165.0,19,False,1,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-05-17 00:33:57,2021-05-13 14:48:01,140.0,130.0,110.0,1544,1168.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,,,29.0,19,True,1,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-05-15 08:05:53,2021-05-15 07:47:24,228.0,129.0,348.0,1274,2893.0,2021-03-17 08:04:07,1.4.6,2023.0,42.0,36.0,Ko University deep learning framework.,,,51.0,19,False,1,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-05-17 11:53:30,2021-05-17 11:49:40,297.0,111.0,1325.0,1035,2433.0,2021-05-07 10:21:09,1.1.1,,,62.0,In-memory tabular data in Julia.,,,189.0,18,False,1,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-05-16 22:42:30,2021-05-14 21:58:28,312.0,213.0,451.0,684,1621.0,2021-05-13 10:03:35,0.25.1,,,76.0,A Julia package for probability distributions and associated functions.,,,179.0,18,False,1,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-05-12 08:55:25,2021-05-06 15:56:54,99.0,55.0,185.0,509,1124.0,2021-04-13 19:45:08,1.36.1,,,70.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",,,52.0,18,True,1,
8,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-04-26 18:37:17,2021-04-26 18:37:16,84.0,39.0,69.0,305,576.0,2021-04-05 20:07:11,0.7.3,14503.0,337.0,11.0,Julia package for text analysis.,,,41.0,17,False,1,
9,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJBase.jl,https://github.com/alan-turing-institute/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-05-15 01:40:55,2021-05-15 00:45:31,24.0,35.0,163.0,63,1428.0,2021-05-15 01:38:53,0.18.6,,,95.0,Core functionality for the MLJ machine learning framework.,,,22.0,17,False,1,
