,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-07-05 10:20:29,2021-07-02 16:55:44,6505.0,1713.0,7643.0,19541,11620.0,2021-03-03 01:00:20,1.8.0,23900.0,385.0,28.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",2165.0,2165.0,960.0,31,True,1,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-07-02 14:59:49,2021-07-02 14:52:59,160.0,173.0,664.0,1264,3156.0,2021-07-01 12:47:23,0.16.5,,,92.0,Bayesian inference with probabilistic programming.,,,75.0,20,True,1,,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-07-04 10:12:19,2021-07-02 21:45:10,450.0,172.0,676.0,3069,3673.0,2021-06-01 22:15:54,0.12.4,,,54.0,Relax! Flux is the ML library that doesn't make you tensor.,,,168.0,19,False,1,,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-06-16 15:37:12,2021-06-16 15:19:21,139.0,134.0,111.0,1555,1171.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,,,29.0,19,True,1,,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-05-15 08:05:53,2021-05-15 07:47:24,229.0,131.0,348.0,1286,2893.0,2021-03-17 08:04:07,1.4.6,2036.0,40.0,36.0,Ko University deep learning framework.,,,51.0,19,False,1,,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-07-02 20:33:42,2021-07-01 21:31:05,303.0,119.0,1341.0,1058,2433.0,2021-07-01 21:53:40,1.2.0,,,63.0,In-memory tabular data in Julia.,,,189.0,18,False,1,,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-07-05 10:11:29,2021-07-05 09:48:59,315.0,219.0,455.0,709,1638.0,2021-07-05 10:09:44,0.25.9,,,84.0,A Julia package for probability distributions and associated functions.,,,180.0,18,False,1,,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-06-28 22:27:06,2021-06-28 22:21:11,101.0,63.0,194.0,539,1185.0,2021-06-26 18:45:26,1.41.0,,,76.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",,,53.0,18,True,1,,
8,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-07-01 20:17:11,2021-07-01 20:16:55,118.0,82.0,397.0,1113,1995.0,2021-07-01 09:01:46,0.16.7,,,53.0,A Julia machine learning framework.,,,45.0,17,False,1,1.0,
9,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-06-25 12:57:19,2021-06-25 12:57:19,86.0,39.0,69.0,310,580.0,2021-04-05 20:07:11,0.7.3,14773.0,328.0,11.0,Julia package for text analysis.,,,43.0,17,False,1,,
