,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-07-19 11:32:16,2021-07-16 21:30:24,6505.0,1710.0,7656.0,19562,11628.0,2021-03-03 01:00:20,1.8.0,23942.0,386.0,28.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",2201.0,2201.0,961.0,31,True,1,,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-07-18 11:34:40,2021-07-17 16:53:31,161.0,176.0,665.0,1277,3159.0,2021-07-17 18:09:11,0.16.6,,,93.0,Bayesian inference with probabilistic programming.,,,76.0,20,True,1,,,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-07-19 12:24:28,2021-07-13 23:17:33,453.0,175.0,681.0,3093,3769.0,2021-07-19 07:02:32,0.12.5,,,55.0,Relax! Flux is the ML library that doesn't make you tensor.,,,169.0,19,False,1,,,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-07-17 05:20:23,2021-07-13 22:52:57,141.0,136.0,113.0,1558,1191.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,,,30.0,19,True,1,,,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-05-15 08:05:53,2021-05-15 07:47:24,230.0,132.0,348.0,1291,2893.0,2021-03-17 08:04:07,1.4.6,2041.0,40.0,36.0,Ko University deep learning framework.,,,51.0,19,False,1,,,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-07-19 10:41:40,2021-07-07 12:02:58,302.0,119.0,1344.0,1070,2433.0,2021-07-01 21:53:40,1.2.0,,,63.0,In-memory tabular data in Julia.,,,189.0,18,False,1,,,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-07-17 20:25:36,2021-07-15 11:23:05,317.0,221.0,456.0,716,1642.0,2021-07-15 11:43:45,0.25.11,,,86.0,A Julia package for probability distributions and associated functions.,,,181.0,18,False,1,,,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-07-15 22:08:36,2021-07-15 22:01:45,100.0,63.0,195.0,542,1187.0,2021-06-26 18:45:26,1.41.0,,,76.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",,,54.0,18,True,1,,,
8,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-07-12 05:22:51,2021-07-12 05:22:32,118.0,84.0,398.0,1128,1995.0,2021-07-01 09:01:46,0.16.7,,,53.0,A Julia machine learning framework.,,,45.0,17,False,1,1.0,,
9,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-06-25 12:57:19,2021-06-25 12:57:19,86.0,39.0,69.0,311,580.0,2021-04-05 20:07:11,0.7.3,14835.0,329.0,11.0,Julia package for text analysis.,,,43.0,17,False,1,,,
10,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/JuliaAI/MLJBase.jl,https://github.com/JuliaAI/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-07-08 21:12:27,2021-07-08 21:12:27,26.0,34.0,173.0,67,1554.0,2021-07-03 21:53:08,0.18.14,,,100.0,Core functionality for the MLJ machine learning framework.,,,24.0,17,False,1,,JuliaAI/MLJBase.jl,
11,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-07-05 02:33:31,2021-07-05 02:20:12,144.0,116.0,558.0,1825,1254.0,2021-07-05 02:33:32,6.17.2,,,52.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,,,19.0,16,False,2,,,
12,Zygote.jl,FluxML/Zygote.jl,ml-frameworks,https://github.com/FluxML/Zygote.jl,https://github.com/FluxML/Zygote.jl,,2018-08-06 22:08:26,2021-07-19 12:13:22,2021-07-19 09:29:14,144.0,297.0,276.0,1020,1905.0,2021-07-19 09:42:31,0.6.17,,,65.0,Intimate Affection Auditor.,,,77.0,16,False,2,,,
13,ModelingToolkit.jl,SciML/ModelingToolkit.jl,ml-frameworks,https://github.com/SciML/ModelingToolkit.jl,https://github.com/SciML/ModelingToolkit.jl,,2018-02-27 01:36:26,2021-07-19 12:17:29,2021-07-17 12:06:33,90.0,117.0,374.0,670,2447.0,2021-07-13 11:06:23,5.23.0,,,100.0,A modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra..,,,63.0,16,False,2,,,
14,Images.jl,JuliaImages/Images.jl,image,https://github.com/JuliaImages/Images.jl,https://github.com/JuliaImages/Images.jl,,2012-12-05 14:43:16,2021-07-04 10:26:01,2021-07-04 10:26:01,125.0,38.0,474.0,448,1480.0,2021-04-27 07:48:51,0.24.1,,,45.0,An image library for Julia.,,,86.0,16,False,1,,,
