,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-09-27 10:55:20,2021-09-24 21:05:35,6521.0,1722.0,7671.0,19672,11664.0,2021-03-03 01:00:20,1.8.0,24140.0,377.0,28.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",965.0,25,True,1,-6.0,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-09-15 00:14:07,2021-09-08 12:50:58,165.0,180.0,675.0,1364,3176.0,2021-08-30 09:05:57,0.18.0,,,99.0,Bayesian inference with probabilistic programming.,78.0,20,True,1,,,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-09-26 12:02:53,2021-09-25 14:26:41,460.0,183.0,700.0,3215,3898.0,2021-07-23 10:31:57,0.12.6,,,56.0,Relax! Flux is the ML library that doesn't make you tensor.,174.0,19,False,1,,,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-08-08 22:33:15,2021-08-02 18:41:09,140.0,138.0,114.0,1571,1212.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,31.0,19,True,1,,,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-09-09 09:55:45,2021-08-28 06:16:36,230.0,134.0,349.0,1297,3059.0,2021-08-08 11:03:49,1.4.8,2169.0,41.0,38.0,Ko University deep learning framework.,51.0,19,False,1,,,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-09-23 19:22:08,2021-09-23 19:15:51,314.0,118.0,1383.0,1177,2433.0,2021-07-31 15:31:50,1.2.2,,,65.0,In-memory tabular data in Julia.,192.0,19,False,1,,,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-09-05 15:13:58,2021-09-02 09:10:33,328.0,227.0,464.0,752,1654.0,2021-09-02 09:28:13,0.25.16,,,91.0,A Julia package for probability distributions and associated functions.,183.0,18,False,1,,,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-09-26 17:08:56,2021-09-25 01:53:46,105.0,74.0,205.0,585,1239.0,2021-08-13 12:50:04,1.43.0,,,79.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",60.0,18,True,1,,,
8,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-08-27 20:25:32,2021-08-12 10:37:31,156.0,122.0,574.0,1947,1261.0,2021-08-12 10:51:55,6.19.0,,,54.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,19.0,17,False,1,,,
9,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-09-21 23:41:22,2021-09-21 22:46:32,122.0,82.0,413.0,1201,2051.0,2021-09-07 05:04:49,0.16.8,,,54.0,A Julia machine learning framework.,46.0,17,False,1,,,
